i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20010000000310,901027326,NGUYEN THI 27316,1,VND,22/10/2019,"147,746","1,926,831",22/10/2019
?,20020000000350,901008020,NGUYEN THI 8010,2,VND,22/10/2019,"166,650","2,163,124",22/10/2019
?,20020000000756,901022826,NGUYEN THI 22816,2,VND,22/10/2019,"157,404","1,953,352",22/10/2019
?,20020000001655,901029971,NGUYEN THI 29961,2,VND,22/10/2019,"599,762","8,118,022",22/10/2019
?,20020000001697,901030093,NGUYEN THI 30083,2,VND,22/10/2019,"100,000","184,104",22/10/2019
?,20020000001796,901030388,NGUYEN THI 30378,2,VND,22/10/2019,"701,302","5,358,983",22/10/2019
?,20030000000177,901008686,NGUYEN THI 8676,3,VND,22/10/2019,"136,833","1,790,411",22/10/2019
?,20040000000143,901030868,NGUYEN THI 30858,4,VND,22/10/2019,"302,351","3,631,595",22/10/2019
?,20040000001562,90261495,NGUYEN VAN 61495,4,VND,22/10/2019,"264,608","3,387,595",22/10/2019
?,20050000000183,90207114,NGUYEN VAN 7114,5,VND,22/10/2019,"358,022","4,555,269",22/10/2019
?,20050000000688,90208172,NGUYEN VAN 8172,5,VND,22/10/2019,"745,339","8,824,524",22/10/2019
?,20050000001660,901031828,NGUYEN THI 31818,5,VND,22/10/2019,"139,172","1,819,655",22/10/2019
?,20050000001728,901031855,NGUYEN THI 31845,5,VND,22/10/2019,"477,258","5,151,535",22/10/2019
?,20050000002015,901032108,NGUYEN THI 32098,5,VND,22/10/2019,"1,112,935","9,995,808",22/10/2019
?,20050000002049,901032124,NGUYEN THI 32114,5,VND,22/10/2019,"170,052","2,205,644",22/10/2019
?,20050000002189,901032271,NGUYEN THI 32261,5,VND,22/10/2019,"762,606","9,970,573",22/10/2019
?,20050000002684,901032592,NGUYEN THI 32582,5,VND,22/10/2019,"329,475","3,960,640",22/10/2019
?,20050000002718,901032610,NGUYEN THI 32600,5,VND,22/10/2019,"152,578","2,135,212",22/10/2019
?,20050000003120,90214236,NGUYEN VAN 14236,5,VND,22/10/2019,"717,474","9,998,419",22/10/2019
?,20050000003476,901033211,NGUYEN THI 33201,5,VND,22/10/2019,"250,972","3,217,146",22/10/2019
?,20050000003633,90216711,NGUYEN VAN 16711,5,VND,22/10/2019,"205,102","2,450,163",22/10/2019
?,20050000003658,901033340,NGUYEN THI 33330,5,VND,22/10/2019,"179,457","2,299,201",22/10/2019
?,20070000000132,901034902,NGUYEN THI 34892,7,VND,22/10/2019,"79,203","171,203",22/10/2019
?,20070000000314,901034975,NGUYEN THI 34965,7,VND,22/10/2019,"297,280","3,514,742",22/10/2019
?,20070000000413,90244842,NGUYEN VAN 44842,7,VND,31/10/2019,"263,446","3,293,074",31/10/2019
?,20070000000488,90245493,NGUYEN VAN 45493,7,VND,31/10/2019,"100,000","1,176,996",31/10/2019
?,20070000000504,90245709,NGUYEN VAN 45709,7,VND,22/10/2019,"239,288","3,071,098",22/10/2019
?,20070000000728,90323019,NGUYEN VAN 123019,7,VND,22/10/2019,"325,776","4,152,204",22/10/2019
?,20070000000793,90330068,NGUYEN VAN 130068,7,VND,22/10/2019,"80,000","160,000",22/10/2019
?,20070000000900,90246623,NGUYEN VAN 46623,7,VND,31/10/2019,"1,109,392","14,121,400",31/10/2019
?,20070000001684,90255555,NGUYEN VAN 55555,7,VND,22/10/2019,"219,492","2,823,646",22/10/2019
?,20070000001957,90257488,NGUYEN VAN 57488,7,VND,22/10/2019,"286,290","3,529,484",22/10/2019
?,20070000002039,90257640,NGUYEN VAN 57640,7,VND,22/10/2019,"275,612","3,525,154",22/10/2019
